"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.140676355333326,0.114038445840027,0.2390992012,10,8,0,"noise",7
0.136373828532436,0.108713194295676,0.2394862756,10,8,0,"noise",8
0.146906779924229,0.118652626502751,0.242348564,10,8,0,"noise",9
0.174529320802725,0.142658362168504,0.2481814604,10,8,0,"noise",10
0.1708830088098,0.138417748871594,0.2595360992,10,8,0,"halfnoise",1
0.176327290672463,0.14027324465649,0.2628979884,10,8,0,"halfnoise",2
0.12508516606134,0.101481900739327,0.2462567932,10,8,0,"halfnoise",3
0.15145799252597,0.120859759159847,0.2501471936,10,8,0,"halfnoise",4
0.144155155655789,0.115579257803113,0.25095997,10,8,0,"halfnoise",5
0.1315377678378,0.105117881027196,0.2487388564,10,8,0,"halfnoise",6
0.156365333587002,0.128151830165282,0.2550358076,10,8,0,"halfnoise",7
0.139346462165694,0.114107835987937,0.2526041672,10,8,0,"halfnoise",8
0.137463884521943,0.112123640557749,0.2480603692,10,8,0,"halfnoise",9
0.134056529982094,0.107463925863788,0.2470776724,10,8,0,"halfnoise",10
0.122480912690505,0.0864955489576019,0.1299941852,10,8,0.5,"equal",1
0.106195464555243,0.0764474314918553,0.1291564232,10,8,0.5,"equal",2
0.129797487519542,0.0938572897776883,0.1311588368,10,8,0.5,"equal",3
0.114672554204482,0.084401941066407,0.1289828376,10,8,0.5,"equal",4
0.106626671521195,0.0810654269829687,0.1239263656,10,8,0.5,"equal",5
0.0896362087293133,0.0640035978307193,0.1251563248,10,8,0.5,"equal",6
0.130040260970912,0.0955490715598638,0.1290285752,10,8,0.5,"equal",7
0.115936980660804,0.0879374607367295,0.1295887316,10,8,0.5,"equal",8
0.0966759954931577,0.0695422742185822,0.1227312684,10,8,0.5,"equal",9
0.0957433357367218,0.066927519675618,0.1233982076,10,8,0.5,"equal",10
0.141815211234746,0.106427784653917,0.178548102,10,8,0.5,"strong",1
0.13623612195986,0.104025263239956,0.1750083612,10,8,0.5,"strong",2
0.117316057433524,0.088096863900429,0.1717234452,10,8,0.5,"strong",3
0.135870571728837,0.108942759845229,0.1780014736,10,8,0.5,"strong",4
0.136643567097747,0.106499216282301,0.1745371472,10,8,0.5,"strong",5
